N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,375,0,95
2,0,330,0,140
3,0,295,0,175
4,0,267,0,203
5,0,248,0,222
6,0,236,0,234
7,0,217,0,253
8,0,201,0,269
9,0,181,0,289
10,0,167,0,303
11,0,151,0,319
12,0,140,0,330
13,0,127,0,343
14,0,116,0,354
15,0,105,0,365
16,0,93,0,377
17,0,90,0,380
18,0,79,0,391
19,0,74,0,396
20,0,65,0,405
21,0,61,0,409
22,0,56,0,414
23,0,51,0,419
24,0,43,0,427
25,0,40,0,430
26,0,40,0,430
27,0,38,0,432
28,0,35,0,435
29,0,32,0,438
30,0,29,0,441
31,0,27,0,443
32,0,22,0,448
33,0,20,0,450
34,0,19,0,451
35,0,17,0,453
36,0,14,0,456
37,0,13,0,457
38,0,11,0,459
39,0,10,0,460
40,0,10,0,460
41,0,9,0,461
42,0,9,0,461
43,0,9,0,461
44,0,8,0,462
45,0,8,0,462
46,0,8,0,462
47,0,7,0,463
48,0,7,0,463
49,0,6,0,464
50,0,4,0,466
51,0,4,0,466
52,0,3,0,467
53,0,3,0,467
54,0,3,0,467
55,0,3,0,467
56,0,3,0,467
57,0,3,0,467
58,0,3,0,467
59,0,3,0,467
60,0,3,0,467
61,0,3,0,467
62,0,3,0,467
63,0,3,0,467
64,0,3,0,467
65,0,2,0,468
66,0,2,0,468
67,0,2,0,468
68,0,2,0,468
69,0,2,0,468
70,0,0,0,470
71,0,0,0,470
72,0,0,0,470
73,0,0,0,470
74,0,0,0,470
75,0,0,0,470
76,0,0,0,470
77,0,0,0,470
78,0,0,0,470
79,0,0,0,470
80,0,0,0,470
81,0,0,0,470
82,0,0,0,470
83,0,0,0,470
84,0,0,0,470
85,0,0,0,470
86,0,0,0,470
87,0,0,0,470
88,0,0,0,470
89,0,0,0,470
90,0,0,0,470
91,0,0,0,470
92,0,0,0,470
93,0,0,0,470
94,0,0,0,470
95,0,0,0,470
96,0,0,0,470
97,0,0,0,470
98,0,0,0,470
99,0,0,0,470
