N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,383,0,87
2,0,324,0,146
3,0,291,0,179
4,0,277,0,193
5,0,260,0,210
6,0,251,0,219
7,0,234,0,236
8,0,221,0,249
9,0,204,0,266
10,0,185,0,285
11,0,162,0,308
12,0,154,0,316
13,0,141,0,329
14,0,128,0,342
15,0,117,0,353
16,0,107,0,363
17,0,97,0,373
18,0,88,0,382
19,0,82,0,388
20,0,74,0,396
21,0,69,0,401
22,0,58,0,412
23,0,51,0,419
24,0,49,0,421
25,0,43,0,427
26,0,37,0,433
27,0,33,0,437
28,0,29,0,441
29,0,25,0,445
30,0,24,0,446
31,0,18,0,452
32,0,16,0,454
33,0,14,0,456
34,0,13,0,457
35,0,13,0,457
36,0,12,0,458
37,0,12,0,458
38,0,9,0,461
39,0,9,0,461
40,0,8,0,462
41,0,5,0,465
42,0,4,0,466
43,0,4,0,466
44,0,3,0,467
45,0,3,0,467
46,0,1,0,469
47,0,0,0,470
48,0,0,0,470
49,0,0,0,470
50,0,0,0,470
51,0,0,0,470
