N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,425,0,45
2,0,402,0,68
3,0,380,0,90
4,0,360,0,110
5,0,345,0,125
6,0,326,0,144
7,0,321,0,149
8,0,309,0,161
9,0,302,0,168
10,0,291,0,179
11,0,282,0,188
12,0,272,0,198
13,0,265,0,205
14,0,257,0,213
15,0,247,0,223
16,0,233,0,237
17,0,227,0,243
18,0,217,0,253
19,0,203,0,267
20,0,196,0,274
21,0,186,0,284
22,0,179,0,291
23,0,167,0,303
24,0,161,0,309
25,0,156,0,314
26,0,147,0,323
27,0,140,0,330
28,0,130,0,340
29,0,117,0,353
30,0,112,0,358
31,0,105,0,365
32,0,98,0,372
33,0,84,0,386
34,0,74,0,396
35,0,65,0,405
36,0,57,0,413
37,0,48,0,422
38,0,37,0,433
39,0,35,0,435
40,0,33,0,437
41,0,26,0,444
42,0,22,0,448
43,0,19,0,451
44,0,18,0,452
45,0,16,0,454
46,0,15,0,455
47,0,12,0,458
48,0,11,0,459
49,0,8,0,462
50,0,7,0,463
51,0,4,0,466
