N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,321,0,0
1,0,299,0,22
2,0,270,0,51
3,0,262,0,59
4,0,247,0,74
5,0,231,0,90
6,0,219,0,102
7,0,210,0,111
8,0,200,0,121
9,0,191,0,130
10,0,178,0,143
11,0,169,0,152
12,0,162,0,159
13,0,153,0,168
14,0,145,0,176
15,0,125,0,196
16,0,110,0,211
17,0,96,0,225
18,0,89,0,232
19,0,76,0,245
20,0,63,0,258
21,0,54,0,267
22,0,48,0,273
23,0,43,0,278
24,0,35,0,286
25,0,29,0,292
26,0,28,0,293
27,0,24,0,297
28,0,24,0,297
29,0,22,0,299
30,0,19,0,302
31,0,17,0,304
32,0,16,0,305
33,0,16,0,305
34,0,15,0,306
35,0,13,0,308
36,0,11,0,310
37,0,10,0,311
38,0,9,0,312
39,0,7,0,314
40,0,6,0,315
41,0,4,0,317
42,0,4,0,317
43,0,3,0,318
44,0,3,0,318
45,0,3,0,318
46,0,3,0,318
47,0,3,0,318
48,0,3,0,318
49,0,2,0,319
50,0,2,0,319
51,0,2,0,319
