N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,321,0,0
1,0,295,0,26
2,0,269,0,52
3,0,257,0,64
4,0,253,0,68
5,0,248,0,73
6,0,239,0,82
7,0,236,0,85
8,0,231,0,90
9,0,224,0,97
10,0,218,0,103
11,0,215,0,106
12,0,213,0,108
13,0,208,0,113
14,0,202,0,119
15,0,198,0,123
16,0,192,0,129
17,0,183,0,138
18,0,180,0,141
19,0,172,0,149
20,0,166,0,155
21,0,163,0,158
22,0,157,0,164
23,0,152,0,169
24,0,145,0,176
25,0,138,0,183
26,0,121,0,200
27,0,110,0,211
28,0,100,0,221
29,0,91,0,230
30,0,85,0,236
31,0,79,0,242
32,0,69,0,252
33,0,69,0,252
34,0,61,0,260
35,0,53,0,268
36,0,46,0,275
37,0,46,0,275
38,0,39,0,282
39,0,27,0,294
40,0,21,0,300
41,0,16,0,305
42,0,10,0,311
43,0,9,0,312
44,0,7,0,314
45,0,6,0,315
46,0,6,0,315
47,0,5,0,316
48,0,4,0,317
49,0,4,0,317
50,0,2,0,319
51,0,0,0,321
