N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,321,0,0
1,0,254,0,67
2,0,213,0,108
3,0,192,0,129
4,0,177,0,144
5,0,156,0,165
6,0,144,0,177
7,0,131,0,190
8,0,119,0,202
9,0,108,0,213
10,0,102,0,219
11,0,89,0,232
12,0,83,0,238
13,0,75,0,246
14,0,65,0,256
15,0,59,0,262
16,0,48,0,273
17,0,43,0,278
18,0,38,0,283
19,0,37,0,284
20,0,33,0,288
21,0,32,0,289
22,0,30,0,291
23,0,27,0,294
24,0,24,0,297
25,0,22,0,299
26,0,19,0,302
27,0,16,0,305
28,0,9,0,312
29,0,9,0,312
30,0,9,0,312
31,0,9,0,312
32,0,7,0,314
33,0,6,0,315
34,0,4,0,317
35,0,4,0,317
36,0,4,0,317
37,0,4,0,317
38,0,4,0,317
39,0,4,0,317
40,0,4,0,317
41,0,3,0,318
42,0,3,0,318
43,0,3,0,318
44,0,2,0,319
45,0,2,0,319
46,0,2,0,319
47,0,2,0,319
48,0,1,0,320
49,0,1,0,320
50,0,1,0,320
51,0,1,0,320
