N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,1,469,0,0
1,1,469,0,0
2,1,467,0,2
3,1,461,0,8
4,1,453,0,16
5,1,440,0,29
6,1,427,0,42
7,1,415,0,54
8,1,400,0,69
9,1,385,0,84
10,1,373,0,96
11,1,365,0,104
12,1,354,0,115
13,1,347,0,122
14,1,337,0,132
15,1,332,0,137
16,1,329,0,140
17,1,323,0,146
18,1,317,0,152
19,1,313,0,156
20,1,304,0,165
21,1,295,0,174
22,1,289,0,180
23,1,288,0,181
24,1,278,0,191
25,1,272,0,197
26,1,266,0,203
27,1,256,0,213
28,1,248,0,221
29,1,232,0,237
30,1,218,0,251
31,1,212,0,257
32,1,201,0,268
33,1,193,0,276
34,1,180,0,289
35,1,169,0,300
36,1,152,0,317
37,1,145,0,324
38,1,130,0,339
39,1,117,0,352
40,1,97,0,372
41,1,85,0,384
42,1,75,0,394
43,1,62,0,407
44,1,51,0,418
45,1,36,0,433
46,0,28,1,441
47,0,18,1,451
48,0,15,1,454
49,0,14,1,455
50,0,9,1,460
51,0,5,1,464
