N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,241,0,229
2,0,183,0,287
3,0,144,0,326
4,0,117,0,353
5,0,90,0,380
6,0,80,0,390
7,0,75,0,395
8,0,70,0,400
9,0,65,0,405
10,0,64,0,406
11,0,61,0,409
12,0,58,0,412
13,0,52,0,418
14,0,50,0,420
15,0,48,0,422
16,0,47,0,423
17,0,46,0,424
18,0,44,0,426
19,0,42,0,428
20,0,40,0,430
21,0,34,0,436
22,0,31,0,439
23,0,30,0,440
24,0,27,0,443
25,0,26,0,444
26,0,23,0,447
27,0,22,0,448
28,0,20,0,450
29,0,18,0,452
30,0,18,0,452
31,0,16,0,454
32,0,16,0,454
33,0,16,0,454
34,0,14,0,456
35,0,14,0,456
36,0,14,0,456
37,0,14,0,456
38,0,14,0,456
39,0,12,0,458
40,0,11,0,459
41,0,9,0,461
42,0,7,0,463
43,0,7,0,463
44,0,7,0,463
45,0,7,0,463
46,0,5,0,465
47,0,5,0,465
48,0,3,0,467
49,0,1,0,469
50,0,1,0,469
51,0,0,0,470
