N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,50,0,420
2,0,38,0,432
3,0,30,0,440
4,0,29,0,441
5,0,28,0,442
6,0,28,0,442
7,0,27,0,443
8,0,26,0,444
9,0,26,0,444
10,0,24,0,446
11,0,24,0,446
12,0,23,0,447
13,0,22,0,448
14,0,22,0,448
15,0,22,0,448
16,0,22,0,448
17,0,20,0,450
18,0,20,0,450
19,0,19,0,451
20,0,19,0,451
21,0,18,0,452
22,0,17,0,453
23,0,17,0,453
24,0,16,0,454
25,0,16,0,454
26,0,16,0,454
27,0,16,0,454
28,0,16,0,454
29,0,16,0,454
30,0,15,0,455
31,0,15,0,455
32,0,13,0,457
33,0,13,0,457
34,0,13,0,457
35,0,12,0,458
36,0,12,0,458
37,0,11,0,459
38,0,11,0,459
39,0,11,0,459
40,0,10,0,460
41,0,10,0,460
42,0,10,0,460
43,0,10,0,460
44,0,9,0,461
45,0,9,0,461
46,0,9,0,461
47,0,9,0,461
48,0,8,0,462
49,0,7,0,463
50,0,6,0,464
51,0,6,0,464
