86.00,3.71,9.43,15.62,20.62,32.24,48.52,58.60
87.00,3.93,9.52,16.49,20.62,32.72,49.20,59.23
88.00,4.13,9.69,17.27,20.76,33.25,49.94,60.10
89.00,4.15,10.47,17.37,21.85,34.24,51.17,62.65
90.00,4.18,11.25,17.47,22.94,35.23,52.40,65.20
91.00,4.28,12.00,17.62,24.02,36.24,53.65,67.69
92.00,5.18,12.37,18.32,25.00,37.44,55.07,69.60
93.00,6.07,12.74,19.03,25.97,38.63,56.48,71.51
94.00,7.08,13.43,20.10,27.33,40.21,58.37,73.92
95.00,9.97,19.02,27.01,34.50,47.69,67.49,84.05
96.00,12.85,24.60,33.92,41.67,55.17,76.62,94.17
97.00,15.77,30.52,41.38,49.58,63.70,87.30,106.17
98.00,20.10,47.04,66.29,80.94,105.95,147.61,178.01
99.00,24.43,63.56,91.20,112.30,148.20,207.93,249.85
