N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,1,469,0,0
1,1,456,0,13
2,1,439,0,30
3,1,424,0,45
4,1,410,0,59
5,1,395,0,74
6,1,382,0,87
7,1,376,0,93
8,1,369,0,100
9,1,363,0,106
10,1,350,0,119
11,1,337,0,132
12,1,332,0,137
13,1,323,0,146
14,1,315,0,154
15,1,308,0,161
16,1,296,0,173
17,1,291,0,178
18,1,287,0,182
19,1,282,0,187
20,1,280,0,189
21,1,276,0,193
22,1,270,0,199
23,1,268,0,201
24,1,259,0,210
25,1,252,0,217
26,1,247,0,222
27,1,241,0,228
28,1,236,0,233
29,1,232,0,237
30,1,227,0,242
31,1,221,0,248
32,1,216,0,253
33,1,207,0,262
34,1,198,0,271
35,1,188,0,281
36,1,178,0,291
37,1,174,0,295
38,1,167,0,302
39,1,158,0,311
40,1,151,0,318
41,1,146,0,323
42,1,139,0,330
43,1,130,0,339
44,1,123,0,346
45,1,114,0,355
46,1,105,0,364
47,1,92,0,377
48,1,80,0,389
49,1,65,0,404
50,1,38,0,431
51,1,21,0,448
