N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,429,0,41
2,0,405,0,65
3,0,387,0,83
4,0,374,0,96
5,0,355,0,115
6,0,338,0,132
7,0,320,0,150
8,0,298,0,172
9,0,286,0,184
10,0,274,0,196
11,0,262,0,208
12,0,252,0,218
13,0,238,0,232
14,0,232,0,238
15,0,217,0,253
16,0,209,0,261
17,0,191,0,279
18,0,182,0,288
19,0,175,0,295
20,0,166,0,304
21,0,157,0,313
22,0,155,0,315
23,0,148,0,322
24,0,139,0,331
25,0,135,0,335
26,0,125,0,345
27,0,113,0,357
28,0,106,0,364
29,0,99,0,371
30,0,86,0,384
31,0,81,0,389
32,0,72,0,398
33,0,68,0,402
34,0,64,0,406
35,0,58,0,412
36,0,55,0,415
37,0,45,0,425
38,0,40,0,430
39,0,37,0,433
40,0,33,0,437
41,0,28,0,442
42,0,26,0,444
43,0,22,0,448
44,0,20,0,450
45,0,18,0,452
46,0,17,0,453
47,0,14,0,456
48,0,12,0,458
49,0,6,0,464
50,0,3,0,467
51,0,2,0,468
52,0,2,0,468
53,0,1,0,469
54,0,0,0,470
55,0,0,0,470
56,0,0,0,470
57,0,0,0,470
58,0,0,0,470
59,0,0,0,470
60,0,0,0,470
61,0,0,0,470
62,0,0,0,470
63,0,0,0,470
64,0,0,0,470
65,0,0,0,470
66,0,0,0,470
67,0,0,0,470
68,0,0,0,470
69,0,0,0,470
70,0,0,0,470
71,0,0,0,470
72,0,0,0,470
73,0,0,0,470
74,0,0,0,470
75,0,0,0,470
76,0,0,0,470
77,0,0,0,470
78,0,0,0,470
79,0,0,0,470
80,0,0,0,470
81,0,0,0,470
82,0,0,0,470
83,0,0,0,470
84,0,0,0,470
85,0,0,0,470
86,0,0,0,470
87,0,0,0,470
88,0,0,0,470
89,0,0,0,470
90,0,0,0,470
91,0,0,0,470
92,0,0,0,470
93,0,0,0,470
94,0,0,0,470
95,0,0,0,470
96,0,0,0,470
97,0,0,0,470
98,0,0,0,470
99,0,0,0,470
