N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,322,0,148
2,0,224,0,246
3,0,182,0,288
4,0,130,0,340
5,0,102,0,368
6,0,82,0,388
7,0,75,0,395
8,0,65,0,405
9,0,57,0,413
10,0,52,0,418
11,0,51,0,419
12,0,47,0,423
13,0,44,0,426
14,0,38,0,432
15,0,32,0,438
16,0,30,0,440
17,0,30,0,440
18,0,27,0,443
19,0,23,0,447
20,0,19,0,451
21,0,18,0,452
22,0,18,0,452
23,0,18,0,452
24,0,16,0,454
25,0,15,0,455
26,0,14,0,456
27,0,12,0,458
28,0,12,0,458
29,0,11,0,459
30,0,11,0,459
31,0,10,0,460
32,0,9,0,461
33,0,8,0,462
34,0,8,0,462
35,0,8,0,462
36,0,7,0,463
37,0,3,0,467
38,0,3,0,467
39,0,3,0,467
40,0,3,0,467
41,0,3,0,467
42,0,3,0,467
43,0,3,0,467
44,0,3,0,467
45,0,3,0,467
46,0,2,0,468
47,0,2,0,468
48,0,2,0,468
49,0,1,0,469
50,0,1,0,469
51,0,0,0,470
