N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,321,0,0
1,0,214,0,107
2,0,186,0,135
3,0,161,0,160
4,0,148,0,173
5,0,135,0,186
6,0,128,0,193
7,0,119,0,202
8,0,114,0,207
9,0,104,0,217
10,0,96,0,225
11,0,89,0,232
12,0,84,0,237
13,0,78,0,243
14,0,74,0,247
15,0,71,0,250
16,0,70,0,251
17,0,64,0,257
18,0,63,0,258
19,0,60,0,261
20,0,59,0,262
21,0,55,0,266
22,0,50,0,271
23,0,43,0,278
24,0,39,0,282
25,0,39,0,282
26,0,34,0,287
27,0,33,0,288
28,0,31,0,290
29,0,30,0,291
30,0,29,0,292
31,0,26,0,295
32,0,24,0,297
33,0,23,0,298
34,0,22,0,299
35,0,19,0,302
36,0,16,0,305
37,0,14,0,307
38,0,13,0,308
39,0,10,0,311
40,0,9,0,312
41,0,9,0,312
42,0,7,0,314
43,0,6,0,315
44,0,5,0,316
45,0,4,0,317
46,0,4,0,317
47,0,4,0,317
48,0,3,0,318
49,0,2,0,319
50,0,1,0,320
51,0,0,0,321
