N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,470,0,0
2,0,470,0,0
3,0,469,0,1
4,0,460,0,10
5,0,443,0,27
6,0,429,0,41
7,0,412,0,58
8,0,383,0,87
9,0,352,0,118
10,0,325,0,145
11,0,298,0,172
12,0,268,0,202
13,0,242,0,228
14,0,220,0,250
15,0,199,0,271
16,0,172,0,298
17,0,142,0,328
18,0,119,0,351
19,0,106,0,364
20,0,91,0,379
21,0,77,0,393
22,0,62,0,408
23,0,56,0,414
24,0,48,0,422
25,0,46,0,424
26,0,39,0,431
27,0,33,0,437
28,0,29,0,441
29,0,24,0,446
30,0,22,0,448
31,0,20,0,450
32,0,15,0,455
33,0,11,0,459
34,0,10,0,460
35,0,10,0,460
36,0,9,0,461
37,0,5,0,465
38,0,2,0,468
39,0,0,0,470
40,0,0,0,470
41,0,0,0,470
42,0,0,0,470
43,0,0,0,470
44,0,0,0,470
45,0,0,0,470
46,0,0,0,470
47,0,0,0,470
48,0,0,0,470
49,0,0,0,470
50,0,0,0,470
51,0,0,0,470
