N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,321,0,0
1,0,321,0,0
2,0,321,0,0
3,0,321,0,0
4,0,321,0,0
5,0,321,0,0
6,0,321,0,0
7,0,312,0,9
8,0,306,0,15
9,0,296,0,25
10,0,281,0,40
11,0,265,0,56
12,0,248,0,73
13,0,231,0,90
14,0,222,0,99
15,0,215,0,106
16,0,206,0,115
17,0,204,0,117
18,0,196,0,125
19,0,189,0,132
20,0,181,0,140
21,0,178,0,143
22,0,175,0,146
23,0,164,0,157
24,0,150,0,171
25,0,137,0,184
26,0,131,0,190
27,0,119,0,202
28,0,114,0,207
29,0,101,0,220
30,0,90,0,231
31,0,76,0,245
32,0,71,0,250
33,0,65,0,256
34,0,59,0,262
35,0,56,0,265
36,0,49,0,272
37,0,44,0,277
38,0,43,0,278
39,0,40,0,281
40,0,36,0,285
41,0,25,0,296
42,0,17,0,304
43,0,15,0,306
44,0,13,0,308
45,0,12,0,309
46,0,12,0,309
47,0,8,0,313
48,0,7,0,314
49,0,6,0,315
50,0,3,0,318
51,0,1,0,320
