N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,357,0,113
2,0,302,0,168
3,0,273,0,197
4,0,256,0,214
5,0,236,0,234
6,0,221,0,249
7,0,216,0,254
8,0,207,0,263
9,0,196,0,274
10,0,186,0,284
11,0,177,0,293
12,0,172,0,298
13,0,164,0,306
14,0,159,0,311
15,0,153,0,317
16,0,145,0,325
17,0,135,0,335
18,0,128,0,342
19,0,123,0,347
20,0,115,0,355
21,0,108,0,362
22,0,103,0,367
23,0,98,0,372
24,0,91,0,379
25,0,80,0,390
26,0,76,0,394
27,0,74,0,396
28,0,70,0,400
29,0,65,0,405
30,0,60,0,410
31,0,57,0,413
32,0,49,0,421
33,0,46,0,424
34,0,44,0,426
35,0,42,0,428
36,0,35,0,435
37,0,30,0,440
38,0,29,0,441
39,0,27,0,443
40,0,26,0,444
41,0,22,0,448
42,0,19,0,451
43,0,15,0,455
44,0,14,0,456
45,0,14,0,456
46,0,13,0,457
47,0,12,0,458
48,0,9,0,461
49,0,7,0,463
50,0,5,0,465
51,0,3,0,467
