N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,321,0,0
1,0,308,0,13
2,0,300,0,21
3,0,284,0,37
4,0,272,0,49
5,0,262,0,59
6,0,256,0,65
7,0,247,0,74
8,0,229,0,92
9,0,220,0,101
10,0,207,0,114
11,0,196,0,125
12,0,181,0,140
13,0,172,0,149
14,0,159,0,162
15,0,148,0,173
16,0,132,0,189
17,0,120,0,201
18,0,102,0,219
19,0,93,0,228
20,0,78,0,243
21,0,67,0,254
22,0,63,0,258
23,0,55,0,266
24,0,47,0,274
25,0,43,0,278
26,0,32,0,289
27,0,26,0,295
28,0,24,0,297
29,0,21,0,300
30,0,18,0,303
31,0,15,0,306
32,0,12,0,309
33,0,10,0,311
34,0,7,0,314
35,0,7,0,314
36,0,4,0,317
37,0,4,0,317
38,0,3,0,318
39,0,2,0,319
40,0,0,0,321
41,0,0,0,321
42,0,0,0,321
43,0,0,0,321
44,0,0,0,321
45,0,0,0,321
46,0,0,0,321
47,0,0,0,321
48,0,0,0,321
49,0,0,0,321
50,0,0,0,321
51,0,0,0,321
