N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,321,0,0
1,0,265,0,56
2,0,230,0,91
3,0,215,0,106
4,0,198,0,123
5,0,190,0,131
6,0,178,0,143
7,0,169,0,152
8,0,160,0,161
9,0,143,0,178
10,0,129,0,192
11,0,118,0,203
12,0,99,0,222
13,0,86,0,235
14,0,71,0,250
15,0,60,0,261
16,0,48,0,273
17,0,37,0,284
18,0,34,0,287
19,0,28,0,293
20,0,19,0,302
21,0,16,0,305
22,0,11,0,310
23,0,7,0,314
24,0,5,0,316
25,0,4,0,317
26,0,3,0,318
27,0,2,0,319
28,0,1,0,320
29,0,0,0,321
30,0,0,0,321
31,0,0,0,321
32,0,0,0,321
33,0,0,0,321
34,0,0,0,321
35,0,0,0,321
36,0,0,0,321
37,0,0,0,321
38,0,0,0,321
39,0,0,0,321
40,0,0,0,321
41,0,0,0,321
42,0,0,0,321
43,0,0,0,321
44,0,0,0,321
45,0,0,0,321
46,0,0,0,321
47,0,0,0,321
48,0,0,0,321
49,0,0,0,321
50,0,0,0,321
51,0,0,0,321
