N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,321,0,0
1,0,303,0,18
2,0,284,0,37
3,0,273,0,48
4,0,251,0,70
5,0,240,0,81
6,0,227,0,94
7,0,219,0,102
8,0,206,0,115
9,0,195,0,126
10,0,189,0,132
11,0,174,0,147
12,0,161,0,160
13,0,152,0,169
14,0,147,0,174
15,0,142,0,179
16,0,127,0,194
17,0,117,0,204
18,0,107,0,214
19,0,99,0,222
20,0,84,0,237
21,0,73,0,248
22,0,59,0,262
23,0,49,0,272
24,0,38,0,283
25,0,32,0,289
26,0,23,0,298
27,0,18,0,303
28,0,17,0,304
29,0,12,0,309
30,0,9,0,312
31,0,8,0,313
32,0,7,0,314
33,0,5,0,316
34,0,5,0,316
35,0,4,0,317
36,0,3,0,318
37,0,3,0,318
38,0,3,0,318
39,0,3,0,318
40,0,2,0,319
41,0,1,0,320
42,0,0,0,321
43,0,0,0,321
44,0,0,0,321
45,0,0,0,321
46,0,0,0,321
47,0,0,0,321
48,0,0,0,321
49,0,0,0,321
50,0,0,0,321
51,0,0,0,321
