N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,457,0,13
2,0,450,0,20
3,0,427,0,43
4,0,402,0,68
5,0,386,0,84
6,0,367,0,103
7,0,358,0,112
8,0,349,0,121
9,0,340,0,130
10,0,328,0,142
11,0,317,0,153
12,0,308,0,162
13,0,300,0,170
14,0,291,0,179
15,0,282,0,188
16,0,272,0,198
17,0,266,0,204
18,0,262,0,208
19,0,255,0,215
20,0,246,0,224
21,0,236,0,234
22,0,227,0,243
23,0,218,0,252
24,0,210,0,260
25,0,206,0,264
26,0,202,0,268
27,0,199,0,271
28,0,193,0,277
29,0,188,0,282
30,0,185,0,285
31,0,181,0,289
32,0,180,0,290
33,0,174,0,296
34,0,168,0,302
35,0,164,0,306
36,0,156,0,314
37,0,153,0,317
38,0,152,0,318
39,0,148,0,322
40,0,145,0,325
41,0,140,0,330
42,0,135,0,335
43,0,127,0,343
44,0,118,0,352
45,0,108,0,362
46,0,95,0,375
47,0,83,0,387
48,0,78,0,392
49,0,70,0,400
50,0,60,0,410
51,0,42,0,428
