N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,398,0,72
2,0,334,0,136
3,0,287,0,183
4,0,250,0,220
5,0,217,0,253
6,0,195,0,275
7,0,179,0,291
8,0,167,0,303
9,0,156,0,314
10,0,148,0,322
11,0,141,0,329
12,0,134,0,336
13,0,131,0,339
14,0,124,0,346
15,0,120,0,350
16,0,110,0,360
17,0,101,0,369
18,0,95,0,375
19,0,90,0,380
20,0,82,0,388
21,0,77,0,393
22,0,72,0,398
23,0,69,0,401
24,0,63,0,407
25,0,62,0,408
26,0,62,0,408
27,0,59,0,411
28,0,54,0,416
29,0,48,0,422
30,0,45,0,425
31,0,40,0,430
32,0,35,0,435
33,0,34,0,436
34,0,31,0,439
35,0,26,0,444
36,0,23,0,447
37,0,22,0,448
38,0,18,0,452
39,0,16,0,454
40,0,15,0,455
41,0,12,0,458
42,0,12,0,458
43,0,9,0,461
44,0,9,0,461
45,0,8,0,462
46,0,5,0,465
47,0,3,0,467
48,0,2,0,468
49,0,0,0,470
50,0,0,0,470
51,0,0,0,470
