N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,269,0,201
2,0,120,0,350
3,0,83,0,387
4,0,55,0,415
5,0,45,0,425
6,0,30,0,440
7,0,28,0,442
8,0,26,0,444
9,0,24,0,446
10,0,21,0,449
11,0,19,0,451
12,0,18,0,452
13,0,15,0,455
14,0,15,0,455
15,0,14,0,456
16,0,14,0,456
17,0,13,0,457
18,0,13,0,457
19,0,13,0,457
20,0,13,0,457
21,0,13,0,457
22,0,12,0,458
23,0,12,0,458
24,0,12,0,458
25,0,12,0,458
26,0,9,0,461
27,0,9,0,461
28,0,8,0,462
29,0,8,0,462
30,0,6,0,464
31,0,6,0,464
32,0,6,0,464
33,0,6,0,464
34,0,6,0,464
35,0,5,0,465
36,0,5,0,465
37,0,4,0,466
38,0,3,0,467
39,0,3,0,467
40,0,3,0,467
41,0,3,0,467
42,0,2,0,468
43,0,2,0,468
44,0,2,0,468
45,0,2,0,468
46,0,2,0,468
47,0,2,0,468
48,0,0,0,470
49,0,0,0,470
50,0,0,0,470
51,0,0,0,470
