N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,321,0,0
1,0,321,0,0
2,0,321,0,0
3,0,321,0,0
4,0,321,0,0
5,0,321,0,0
6,0,317,0,4
7,0,307,0,14
8,0,299,0,22
9,0,277,0,44
10,0,260,0,61
11,0,244,0,77
12,0,229,0,92
13,0,214,0,107
14,0,209,0,112
15,0,205,0,116
16,0,201,0,120
17,0,192,0,129
18,0,185,0,136
19,0,180,0,141
20,0,173,0,148
21,0,167,0,154
22,0,158,0,163
23,0,148,0,173
24,0,138,0,183
25,0,126,0,195
26,0,115,0,206
27,0,104,0,217
28,0,100,0,221
29,0,91,0,230
30,0,80,0,241
31,0,71,0,250
32,0,66,0,255
33,0,58,0,263
34,0,55,0,266
35,0,49,0,272
36,0,44,0,277
37,0,40,0,281
38,0,37,0,284
39,0,32,0,289
40,0,23,0,298
41,0,19,0,302
42,0,14,0,307
43,0,13,0,308
44,0,13,0,308
45,0,12,0,309
46,0,10,0,311
47,0,7,0,314
48,0,4,0,317
49,0,3,0,318
50,0,2,0,319
51,0,1,0,320
