N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,221,0,249
2,0,175,0,295
3,0,152,0,318
4,0,134,0,336
5,0,115,0,355
6,0,103,0,367
7,0,95,0,375
8,0,94,0,376
9,0,89,0,381
10,0,79,0,391
11,0,75,0,395
12,0,73,0,397
13,0,69,0,401
14,0,61,0,409
15,0,60,0,410
16,0,59,0,411
17,0,52,0,418
18,0,52,0,418
19,0,50,0,420
20,0,48,0,422
21,0,44,0,426
22,0,41,0,429
23,0,36,0,434
24,0,32,0,438
25,0,32,0,438
26,0,31,0,439
27,0,29,0,441
28,0,29,0,441
29,0,27,0,443
30,0,22,0,448
31,0,19,0,451
32,0,18,0,452
33,0,17,0,453
34,0,16,0,454
35,0,15,0,455
36,0,14,0,456
37,0,13,0,457
38,0,12,0,458
39,0,10,0,460
40,0,9,0,461
41,0,9,0,461
42,0,9,0,461
43,0,8,0,462
44,0,5,0,465
45,0,5,0,465
46,0,3,0,467
47,0,2,0,468
48,0,1,0,469
49,0,1,0,469
50,0,1,0,469
51,0,1,0,469
