N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,328,0,142
2,0,297,0,173
3,0,268,0,202
4,0,255,0,215
5,0,230,0,240
6,0,213,0,257
7,0,204,0,266
8,0,187,0,283
9,0,178,0,292
10,0,159,0,311
11,0,152,0,318
12,0,145,0,325
13,0,137,0,333
14,0,131,0,339
15,0,121,0,349
16,0,114,0,356
17,0,109,0,361
18,0,105,0,365
19,0,99,0,371
20,0,95,0,375
21,0,91,0,379
22,0,87,0,383
23,0,82,0,388
24,0,79,0,391
25,0,77,0,393
26,0,73,0,397
27,0,71,0,399
28,0,66,0,404
29,0,64,0,406
30,0,60,0,410
31,0,57,0,413
32,0,54,0,416
33,0,52,0,418
34,0,50,0,420
35,0,48,0,422
36,0,45,0,425
37,0,42,0,428
38,0,38,0,432
39,0,36,0,434
40,0,34,0,436
41,0,31,0,439
42,0,30,0,440
43,0,29,0,441
44,0,28,0,442
45,0,23,0,447
46,0,20,0,450
47,0,17,0,453
48,0,12,0,458
49,0,10,0,460
50,0,6,0,464
51,0,6,0,464
