N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,462,0,8
2,0,447,0,23
3,0,425,0,45
4,0,405,0,65
5,0,389,0,81
6,0,375,0,95
7,0,358,0,112
8,0,346,0,124
9,0,334,0,136
10,0,323,0,147
11,0,310,0,160
12,0,294,0,176
13,0,284,0,186
14,0,280,0,190
15,0,271,0,199
16,0,255,0,215
17,0,247,0,223
18,0,236,0,234
19,0,231,0,239
20,0,223,0,247
21,0,210,0,260
22,0,202,0,268
23,0,193,0,277
24,0,187,0,283
25,0,177,0,293
26,0,171,0,299
27,0,164,0,306
28,0,160,0,310
29,0,157,0,313
30,0,153,0,317
31,0,146,0,324
32,0,140,0,330
33,0,137,0,333
34,0,129,0,341
35,0,124,0,346
36,0,119,0,351
37,0,113,0,357
38,0,109,0,361
39,0,106,0,364
40,0,103,0,367
41,0,95,0,375
42,0,88,0,382
43,0,82,0,388
44,0,77,0,393
45,0,68,0,402
46,0,62,0,408
47,0,56,0,414
48,0,45,0,425
49,0,39,0,431
50,0,27,0,443
51,0,22,0,448
