N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,384,0,86
2,0,320,0,150
3,0,272,0,198
4,0,234,0,236
5,0,206,0,264
6,0,192,0,278
7,0,180,0,290
8,0,168,0,302
9,0,148,0,322
10,0,139,0,331
11,0,130,0,340
12,0,125,0,345
13,0,112,0,358
14,0,102,0,368
15,0,99,0,371
16,0,92,0,378
17,0,88,0,382
18,0,83,0,387
19,0,80,0,390
20,0,77,0,393
21,0,73,0,397
22,0,68,0,402
23,0,60,0,410
24,0,59,0,411
25,0,56,0,414
26,0,52,0,418
27,0,51,0,419
28,0,46,0,424
29,0,42,0,428
30,0,40,0,430
31,0,38,0,432
32,0,36,0,434
33,0,31,0,439
34,0,27,0,443
35,0,26,0,444
36,0,25,0,445
37,0,23,0,447
38,0,23,0,447
39,0,22,0,448
40,0,21,0,449
41,0,18,0,452
42,0,13,0,457
43,0,10,0,460
44,0,10,0,460
45,0,5,0,465
46,0,2,0,468
47,0,2,0,468
48,0,1,0,469
49,0,1,0,469
50,0,1,0,469
51,0,1,0,469
