N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,459,0,11
2,0,432,0,38
3,0,399,0,71
4,0,368,0,102
5,0,346,0,124
6,0,322,0,148
7,0,308,0,162
8,0,297,0,173
9,0,289,0,181
10,0,269,0,201
11,0,251,0,219
12,0,234,0,236
13,0,212,0,258
14,0,186,0,284
15,0,176,0,294
16,0,166,0,304
17,0,155,0,315
18,0,143,0,327
19,0,128,0,342
20,0,122,0,348
21,0,109,0,361
22,0,98,0,372
23,0,92,0,378
24,0,83,0,387
25,0,75,0,395
26,0,69,0,401
27,0,58,0,412
28,0,56,0,414
29,0,49,0,421
30,0,46,0,424
31,0,42,0,428
32,0,32,0,438
33,0,30,0,440
34,0,24,0,446
35,0,20,0,450
36,0,16,0,454
37,0,12,0,458
38,0,11,0,459
39,0,11,0,459
40,0,8,0,462
41,0,6,0,464
42,0,3,0,467
43,0,0,0,470
44,0,0,0,470
45,0,0,0,470
46,0,0,0,470
47,0,0,0,470
48,0,0,0,470
49,0,0,0,470
50,0,0,0,470
51,0,0,0,470
