N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,441,0,29
2,0,414,0,56
3,0,401,0,69
4,0,386,0,84
5,0,373,0,97
6,0,361,0,109
7,0,340,0,130
8,0,326,0,144
9,0,311,0,159
10,0,295,0,175
11,0,287,0,183
12,0,274,0,196
13,0,269,0,201
14,0,264,0,206
15,0,257,0,213
16,0,252,0,218
17,0,245,0,225
18,0,239,0,231
19,0,233,0,237
20,0,227,0,243
21,0,221,0,249
22,0,206,0,264
23,0,197,0,273
24,0,194,0,276
25,0,188,0,282
26,0,180,0,290
27,0,172,0,298
28,0,162,0,308
29,0,149,0,321
30,0,145,0,325
31,0,133,0,337
32,0,122,0,348
33,0,119,0,351
34,0,107,0,363
35,0,95,0,375
36,0,88,0,382
37,0,76,0,394
38,0,69,0,401
39,0,58,0,412
40,0,49,0,421
41,0,44,0,426
42,0,35,0,435
43,0,29,0,441
44,0,22,0,448
45,0,14,0,456
46,0,12,0,458
47,0,12,0,458
48,0,9,0,461
49,0,7,0,463
50,0,5,0,465
51,0,5,0,465
