N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,321,0,0
1,0,314,0,7
2,0,296,0,25
3,0,266,0,55
4,0,247,0,74
5,0,227,0,94
6,0,212,0,109
7,0,191,0,130
8,0,171,0,150
9,0,155,0,166
10,0,143,0,178
11,0,132,0,189
12,0,112,0,209
13,0,100,0,221
14,0,89,0,232
15,0,79,0,242
16,0,67,0,254
17,0,58,0,263
18,0,55,0,266
19,0,48,0,273
20,0,43,0,278
21,0,33,0,288
22,0,29,0,292
23,0,28,0,293
24,0,27,0,294
25,0,25,0,296
26,0,24,0,297
27,0,23,0,298
28,0,23,0,298
29,0,19,0,302
30,0,17,0,304
31,0,12,0,309
32,0,12,0,309
33,0,11,0,310
34,0,10,0,311
35,0,9,0,312
36,0,8,0,313
37,0,5,0,316
38,0,4,0,317
39,0,3,0,318
40,0,3,0,318
41,0,3,0,318
42,0,3,0,318
43,0,3,0,318
44,0,3,0,318
45,0,3,0,318
46,0,3,0,318
47,0,3,0,318
48,0,3,0,318
49,0,2,0,319
50,0,0,0,321
51,0,0,0,321
