N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,424,0,46
2,0,365,0,105
3,0,305,0,165
4,0,267,0,203
5,0,229,0,241
6,0,201,0,269
7,0,178,0,292
8,0,164,0,306
9,0,149,0,321
10,0,127,0,343
11,0,115,0,355
12,0,108,0,362
13,0,99,0,371
14,0,90,0,380
15,0,80,0,390
16,0,71,0,399
17,0,64,0,406
18,0,54,0,416
19,0,49,0,421
20,0,45,0,425
21,0,37,0,433
22,0,34,0,436
23,0,30,0,440
24,0,24,0,446
25,0,23,0,447
26,0,19,0,451
27,0,17,0,453
28,0,16,0,454
29,0,12,0,458
30,0,12,0,458
31,0,9,0,461
32,0,7,0,463
33,0,5,0,465
34,0,2,0,468
35,0,2,0,468
36,0,2,0,468
37,0,1,0,469
38,0,0,0,470
39,0,0,0,470
40,0,0,0,470
41,0,0,0,470
42,0,0,0,470
43,0,0,0,470
44,0,0,0,470
45,0,0,0,470
46,0,0,0,470
47,0,0,0,470
48,0,0,0,470
49,0,0,0,470
50,0,0,0,470
51,0,0,0,470
