N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,470,0,0
2,0,470,0,0
3,0,470,0,0
4,0,470,0,0
5,0,469,0,1
6,0,466,0,4
7,0,457,0,13
8,0,442,0,28
9,0,424,0,46
10,0,407,0,63
11,0,385,0,85
12,0,354,0,116
13,0,332,0,138
14,0,305,0,165
15,0,286,0,184
16,0,263,0,207
17,0,245,0,225
18,0,235,0,235
19,0,226,0,244
20,0,212,0,258
21,0,194,0,276
22,0,181,0,289
23,0,167,0,303
24,0,151,0,319
25,0,141,0,329
26,0,130,0,340
27,0,112,0,358
28,0,99,0,371
29,0,88,0,382
30,0,77,0,393
31,0,74,0,396
32,0,61,0,409
33,0,54,0,416
34,0,49,0,421
35,0,44,0,426
36,0,32,0,438
37,0,27,0,443
38,0,23,0,447
39,0,20,0,450
40,0,17,0,453
41,0,14,0,456
42,0,11,0,459
43,0,6,0,464
44,0,4,0,466
45,0,3,0,467
46,0,2,0,468
47,0,0,0,470
48,0,0,0,470
49,0,0,0,470
50,0,0,0,470
51,0,0,0,470
