N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,1,469,0,0
1,1,458,0,11
2,1,454,0,15
3,1,447,0,22
4,1,444,0,25
5,1,442,0,27
6,1,432,0,37
7,1,428,0,41
8,1,422,0,47
9,1,415,0,54
10,1,405,0,64
11,1,394,0,75
12,1,386,0,83
13,1,377,0,92
14,1,365,0,104
15,1,357,0,112
16,1,350,0,119
17,1,335,0,134
18,1,313,0,156
19,1,296,0,173
20,1,280,0,189
21,1,271,0,198
22,1,261,0,208
23,1,239,0,230
24,1,229,0,240
25,1,208,0,261
26,1,197,0,272
27,1,180,0,289
28,1,163,0,306
29,1,148,0,321
30,1,123,0,346
31,1,110,0,359
32,1,88,0,381
33,1,72,0,397
34,1,59,0,410
35,1,53,0,416
36,1,44,0,425
37,1,34,0,435
38,1,28,0,441
39,0,21,1,448
40,0,18,1,451
41,0,14,1,455
42,0,9,1,460
43,0,7,1,462
44,0,4,1,465
45,0,2,1,467
46,0,0,1,469
47,0,0,1,469
48,0,0,1,469
49,0,0,1,469
50,0,0,1,469
51,0,0,1,469
