N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,379,0,91
2,0,339,0,131
3,0,297,0,173
4,0,255,0,215
5,0,229,0,241
6,0,198,0,272
7,0,180,0,290
8,0,164,0,306
9,0,156,0,314
10,0,143,0,327
11,0,138,0,332
12,0,131,0,339
13,0,126,0,344
14,0,121,0,349
15,0,115,0,355
16,0,105,0,365
17,0,99,0,371
18,0,93,0,377
19,0,81,0,389
20,0,76,0,394
21,0,73,0,397
22,0,64,0,406
23,0,61,0,409
24,0,58,0,412
25,0,55,0,415
26,0,54,0,416
27,0,52,0,418
28,0,48,0,422
29,0,45,0,425
30,0,41,0,429
31,0,37,0,433
32,0,31,0,439
33,0,28,0,442
34,0,27,0,443
35,0,25,0,445
36,0,21,0,449
37,0,18,0,452
38,0,15,0,455
39,0,14,0,456
40,0,14,0,456
41,0,13,0,457
42,0,12,0,458
43,0,12,0,458
44,0,12,0,458
45,0,12,0,458
46,0,12,0,458
47,0,11,0,459
48,0,10,0,460
49,0,10,0,460
50,0,9,0,461
51,0,9,0,461
52,0,8,0,462
53,0,7,0,463
54,0,6,0,464
55,0,6,0,464
56,0,5,0,465
57,0,5,0,465
58,0,5,0,465
59,0,5,0,465
60,0,5,0,465
61,0,5,0,465
62,0,3,0,467
63,0,2,0,468
64,0,1,0,469
65,0,1,0,469
66,0,1,0,469
67,0,1,0,469
68,0,1,0,469
69,0,1,0,469
70,0,1,0,469
71,0,1,0,469
72,0,1,0,469
73,0,1,0,469
74,0,0,0,470
75,0,0,0,470
76,0,0,0,470
77,0,0,0,470
78,0,0,0,470
79,0,0,0,470
80,0,0,0,470
81,0,0,0,470
82,0,0,0,470
83,0,0,0,470
84,0,0,0,470
85,0,0,0,470
86,0,0,0,470
87,0,0,0,470
88,0,0,0,470
89,0,0,0,470
90,0,0,0,470
91,0,0,0,470
92,0,0,0,470
93,0,0,0,470
94,0,0,0,470
95,0,0,0,470
96,0,0,0,470
97,0,0,0,470
98,0,0,0,470
99,0,0,0,470
