N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,229,0,241
2,0,148,0,322
3,0,111,0,359
4,0,90,0,380
5,0,75,0,395
6,0,67,0,403
7,0,61,0,409
8,0,56,0,414
9,0,51,0,419
10,0,47,0,423
11,0,43,0,427
12,0,37,0,433
13,0,33,0,437
14,0,28,0,442
15,0,25,0,445
16,0,23,0,447
17,0,21,0,449
18,0,18,0,452
19,0,16,0,454
20,0,12,0,458
21,0,12,0,458
22,0,10,0,460
23,0,7,0,463
24,0,7,0,463
25,0,7,0,463
26,0,5,0,465
27,0,3,0,467
28,0,3,0,467
29,0,3,0,467
30,0,3,0,467
31,0,3,0,467
32,0,2,0,468
33,0,2,0,468
34,0,2,0,468
35,0,2,0,468
36,0,2,0,468
37,0,2,0,468
38,0,2,0,468
39,0,1,0,469
40,0,0,0,470
41,0,0,0,470
42,0,0,0,470
43,0,0,0,470
44,0,0,0,470
45,0,0,0,470
46,0,0,0,470
47,0,0,0,470
48,0,0,0,470
49,0,0,0,470
50,0,0,0,470
51,0,0,0,470
