N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,470,0,0
1,0,439,0,31
2,0,412,0,58
3,0,387,0,83
4,0,363,0,107
5,0,345,0,125
6,0,331,0,139
7,0,318,0,152
8,0,301,0,169
9,0,288,0,182
10,0,276,0,194
11,0,267,0,203
12,0,259,0,211
13,0,247,0,223
14,0,236,0,234
15,0,234,0,236
16,0,228,0,242
17,0,217,0,253
18,0,215,0,255
19,0,208,0,262
20,0,202,0,268
21,0,197,0,273
22,0,189,0,281
23,0,189,0,281
24,0,182,0,288
25,0,179,0,291
26,0,175,0,295
27,0,171,0,299
28,0,167,0,303
29,0,160,0,310
30,0,159,0,311
31,0,157,0,313
32,0,147,0,323
33,0,140,0,330
34,0,138,0,332
35,0,133,0,337
36,0,129,0,341
37,0,121,0,349
38,0,117,0,353
39,0,107,0,363
40,0,99,0,371
41,0,92,0,378
42,0,85,0,385
43,0,75,0,395
44,0,68,0,402
45,0,59,0,411
46,0,53,0,417
47,0,47,0,423
48,0,41,0,429
49,0,33,0,437
50,0,24,0,446
51,0,17,0,453
