N. OF MEMBERS (AT LEAST) EXCEEDING VRE,HITS,FALSE ALARMS,MISSES,CORRECT NEGATIVES
0,0,321,0,0
1,0,320,0,1
2,0,311,0,10
3,0,295,0,26
4,0,273,0,48
5,0,250,0,71
6,0,232,0,89
7,0,218,0,103
8,0,200,0,121
9,0,175,0,146
10,0,160,0,161
11,0,143,0,178
12,0,135,0,186
13,0,123,0,198
14,0,114,0,207
15,0,102,0,219
16,0,93,0,228
17,0,75,0,246
18,0,68,0,253
19,0,62,0,259
20,0,52,0,269
21,0,44,0,277
22,0,35,0,286
23,0,32,0,289
24,0,28,0,293
25,0,25,0,296
26,0,21,0,300
27,0,18,0,303
28,0,15,0,306
29,0,10,0,311
30,0,10,0,311
31,0,8,0,313
32,0,6,0,315
33,0,3,0,318
34,0,3,0,318
35,0,3,0,318
36,0,3,0,318
37,0,2,0,319
38,0,2,0,319
39,0,2,0,319
40,0,2,0,319
41,0,2,0,319
42,0,2,0,319
43,0,1,0,320
44,0,1,0,320
45,0,0,0,321
46,0,0,0,321
47,0,0,0,321
48,0,0,0,321
49,0,0,0,321
50,0,0,0,321
51,0,0,0,321
